address,latitude,longitude,number_of_raids,proportion_no_action,raid_dates_and_resolutions
511 LEXINGTON AVENUE Manhattan,40.75488981,-73.97302544,3,0.6666666666666666,"[('2015-02-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-11-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-05-30', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
512 WEST 42 STREET Manhattan,40.759654499999996,-73.99663782,1,1.0,"[('2016-02-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
513 3 AVENUE Manhattan,40.74592351,-73.97757452,1,1.0,"[('2012-09-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
513 CONEY ISLAND AVENUE Brooklyn,40.64515086,-73.97017582,3,0.3333333333333333,"[('2014-07-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-06-07', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-04-21', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
513 CORTELYOU ROAD Brooklyn,40.63872042,-73.97388159,1,0.0,"[('2016-08-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
519 EAST 180 STREET Bronx,40.85098798,-73.89421332,2,0.5,"[('2014-04-25', 'ADMINISTRATIVE CLOSURE NN'), ('2014-04-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
52-15 ROOSEVELT AVENUE Queens,40.74456659,-73.91184099,1,1.0,"[('2012-10-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
520 WEST 126 STREET Manhattan,40.81484314,-73.95667922,1,1.0,"[('2012-12-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
521 MYRTLE AVENUE Brooklyn,40.69392524,-73.96387134,1,0.0,"[('2013-08-09', 'MARCH: NO PA PERMIT/ECB NOV & PARTIAL VACATE ISSUED P')]"
523 BAY STREET Staten Island,40.62923105,-74.07628048,2,0.0,"[('2013-10-25', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-10-25', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
523 BRUCKNER BOULEVARD Bronx,40.81098809,-73.90194783,3,0.3333333333333333,"[('2014-06-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-24', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-10-12', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
524 GRAND STREET Brooklyn,40.71078476,-73.95034873,1,0.0,"[('2013-12-14', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
524 WEST 207 STREET Manhattan,40.86499125,-73.91983536,1,1.0,"[('2017-03-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
525 WEST 29 STREET Manhattan,40.75218274,-74.00259782,4,0.0,"[('2015-04-24', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-04-24', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-04-24', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-04-24', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
527 MYRTLE AVENUE Brooklyn,40.69395537,-73.96360097,2,0.0,"[('2012-12-21', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-06-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
53 WILSON AVENUE Brooklyn,40.70265534,-73.92863699,1,1.0,"[('2013-03-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
53-22 ROOSEVELT AVENUE Queens,40.74441420000001,-73.9108866,2,0.5,"[('2014-07-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-03-02', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
535 MANHATTAN AVENUE Manhattan,40.80916353,-73.95413466,1,0.0,"[('2012-08-25', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
536 DRIGGS AVENUE Brooklyn,40.71752814,-73.95627055,1,1.0,"[('2013-01-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
536 EAST 138 STREET Bronx,40.80684477,-73.91822544,2,1.0,"[('2013-01-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-09-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
537 EAST 183 STREET Bronx,40.85459995,-73.89139921,1,1.0,"[('2015-09-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
54 WEST 21 STREET Manhattan,40.74116471,-73.993235,1,1.0,"[('2016-06-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
54 WEST 39 STREET Manhattan,40.75238118,-73.98474979,2,1.0,"[('2014-04-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
54-19 MYRTLE AVENUE Queens,40.69986513,-73.91038191,4,0.0,"[('2015-04-26', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-04-26', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-04-26', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2015-04-26', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
540 WEST 145 STREET Manhattan,40.82589522,-73.94991446,3,0.3333333333333333,"[('2014-06-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-12-13', 'MARCH: NO PA PERMIT/ECB NOV & PARTIAL VACATE ISSUED P'), ('2013-12-13', 'MARCH: NO PA PERMIT/ECB NOV & PARTIAL VACATE ISSUED P')]"
541 MANHATTAN AVENUE Manhattan,40.80926843,-73.95405204,1,0.0,"[('2012-06-24', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
545 FLATBUSH AVENUE Brooklyn,40.66073608,-73.96032896,1,1.0,"[('2014-02-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
545 WEST 125 STREET Manhattan,40.81490315,-73.95718307,1,1.0,"[('2012-12-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
547 LENOX AVENUE Manhattan,40.81601068,-73.93991235,4,0.0,"[('2016-04-10', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2016-04-10', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2016-04-10', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2016-04-10', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
55 WEST 21 STREET Manhattan,40.74155179,-73.99299959999999,2,0.5,"[('2013-09-07', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-12-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
55-61 58 STREET Queens,40.72578332,-73.91181808,3,0.6666666666666666,"[('2014-07-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-10-14', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
551 MANHATTAN AVENUE Manhattan,40.80947198,-73.95389793,1,0.0,"[('2013-01-05', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
556 RICHMOND ROAD Staten Island,40.61306411,-74.08708208,2,1.0,"[('2013-10-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
5561 58 STREET Queens,40.72578332,-73.91181808,1,1.0,"[('2015-03-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
5585 BROADWAY Bronx,40.87925155,-73.90486347,1,1.0,"[('2013-03-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
5588 BROADWAY Bronx,40.87912747,-73.90431969,1,1.0,"[('2013-03-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
559 GRAND AVENUE Brooklyn,40.67858756,-73.96164846,1,1.0,"[('2013-02-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
56 IRVING PLACE Manhattan,40.73595765,-73.98696012,1,1.0,"[('2016-06-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
5620 BROADWAY Bronx,40.87985247,-73.90372754,1,1.0,"[('2014-02-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
565 WEST 207 STREET Manhattan,40.86638707,-73.92001314,2,0.0,"[('2016-07-23', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2017-03-11', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
566 EAST 187 STREET Bronx,40.85600497,-73.88880259,1,1.0,"[('2015-08-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
566 NOSTRAND AVENUE Brooklyn,40.67922792,-73.94992643,3,0.3333333333333333,"[('2013-11-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-03-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-20', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
569 CONEY ISLAND AVENUE Brooklyn,40.64343669,-73.96964443,1,0.0,"[('2013-05-17', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
57 WATERBURY STREET Brooklyn,40.70915221,-73.93726121,1,1.0,"[('2012-10-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
570 AMSTERDAM AVENUE Manhattan,40.78887884,-73.97454607,1,0.0,"[('2012-06-02', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
574 9 AVENUE Manhattan,40.75803774,-73.99258594,1,1.0,"[('2015-02-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
5757 BROADWAY Bronx,40.88347374,-73.90197327,3,0.6666666666666666,"[('2015-03-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-01', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-02-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
578 ALBANY AVENUE Brooklyn,40.660487700000004,-73.94009636,3,0.6666666666666666,"[('2014-10-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-07-13', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-03-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
58 CLINTON STREET Manhattan,40.71951592,-73.98456341,1,1.0,"[('2013-05-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
58 EAST 34 STREET Manhattan,40.74714463,-73.98221079,1,1.0,"[('2014-09-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
58 NORTH 3 STREET Brooklyn,40.71746344,-73.96355095,2,1.0,"[('2016-09-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-04-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
58-05 31 AVENUE Queens,40.75758455,-73.90355251,1,1.0,"[('2016-10-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
5817 4 AVENUE Brooklyn,40.64145822,-74.01733143,5,0.2,"[('2015-03-23', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2015-03-23', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2015-03-23', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2015-03-23', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2013-03-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
5819 4 AVENUE Brooklyn,40.6414039,-74.01738823,1,0.0,"[('2015-03-21', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
5820 BROADWAY Bronx,40.88512576,-73.90024683,1,1.0,"[('2012-07-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
585 ALBANY AVENUE Brooklyn,40.66030166,-73.93941709,1,0.0,"[('2014-07-13', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
586 WEST 207 STREET Manhattan,40.86693118,-73.92107766,1,1.0,"[('2016-10-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
59 CANAL STREET Manhattan,40.71512436,-73.99201803,1,1.0,"[('2013-05-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
59 WEST 21 STREET Manhattan,40.74158762,-73.99336482,1,1.0,"[('2016-06-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
590 GRAND CONCOURSE Bronx,40.81952964,-73.92638442,4,0.0,"[('2017-01-29', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2017-01-29', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2017-01-29', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2017-01-29', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
590 GRANDCONCOURSE Bronx,40.81952964,-73.92638442,1,1.0,"[('2012-06-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
591 FLATBUSH AVENUE Brooklyn,40.65907166,-73.96025193,1,1.0,"[('2014-10-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
5913 FOSTER AVENUE Brooklyn,40.64019313,-73.92009118,2,1.0,"[('2016-09-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-06-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
592 8 AVENUE Manhattan,40.75504176,-73.99105708,1,1.0,"[('2016-01-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
592 JOHNSON AVENUE Brooklyn,40.70862262,-73.92464911,1,0.0,"[('2013-12-31', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
593 3 AVENUE Brooklyn,40.66699498,-73.99444854,1,1.0,"[('2017-05-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
594 UNION AVENUE Brooklyn,40.71822825,-73.95199972,1,0.0,"[('2012-08-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
597 CONEY ISLAND AVENUE Brooklyn,40.64275973,-73.96946999,3,0.6666666666666666,"[('2013-05-17', 'MARCH: NO PA PERMIT/ECB NOV & PARTIAL VACATE ISSUED P'), ('2014-01-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-07-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
597 MANHATTAN AVENUE Brooklyn,40.72302381,-73.95066949,2,0.0,"[('2013-09-15', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV & PARTIAL VACATE ISSUED P'), ('2013-09-15', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV & PARTIAL VACATE ISSUED P')]"
598 GRAND CONCOURSE Bronx,40.81971117,-73.92626673,1,0.0,"[('2015-01-09', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
598 GRANDCONCOURSE Bronx,40.81971117,-73.92626673,1,1.0,"[('2013-08-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
6 ST MARKS PLACE Manhattan,40.72911218,-73.98955392,1,1.0,"[('2013-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
6 WEST 25 STREET Manhattan,40.74301218,-73.98978934,2,0.5,"[('2014-01-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-09-07', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
60 SOUTH 2 STREET Brooklyn,40.71375378,-73.96578156,2,0.0,"[('2013-02-23', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-02-23', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
60 ST NICHOLAS AVENUE Manhattan,40.80080109,-73.95215476,2,0.5,"[('2017-05-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-05-14', 'PLEASE SEE COMPLAINT NUMBER')]"
600 VAN NEST AVENUE Bronx,40.84239071,-73.8677239,1,1.0,"[('2013-01-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
601 8 AVENUE Manhattan,40.75565243,-73.99135744,3,0.3333333333333333,"[('2015-02-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-09-08', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2012-09-08', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
601 EAST 189 STREET Bronx,40.85736861,-73.88571040000001,1,1.0,"[('2012-10-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
603 SENECA AVENUE Queens,40.70417824,-73.90955202,1,0.0,"[('2015-10-16', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
605 WEST 48 STREET Manhattan,40.76506408,-73.99599992,2,1.0,"[('2013-04-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-12-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
608 9 AVENUE Manhattan,40.75922581,-73.9917327,1,0.0,"[('2014-09-05', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
61 LENOX AVENUE Manhattan,40.80038579,-73.95139098,1,0.0,"[('2016-04-08', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
617 GRAND AVENUE Brooklyn,40.67673336,-73.96252138,1,1.0,"[('2014-03-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
618 WEST 46 STREET Manhattan,40.76359521,-73.9975814,3,1.0,"[('2014-05-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-04-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
62-10 39 AVENUE Queens,40.74658169,-73.90128781,1,1.0,"[('2013-03-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
62-10 WOODHAVEN BOULEVARD Queens,40.72649269,-73.87082933,1,0.0,"[('2013-09-21', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
620 EAST 186 STREET Bronx,40.85420353,-73.88742259,1,1.0,"[('2012-10-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
6205 30 AVENUE Queens,40.76011526,-73.90095321,1,1.0,"[('2013-11-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
621 CRESCENT AVENUE Bronx,40.85397603,-73.88762622,3,0.3333333333333333,"[('2014-04-25', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2014-04-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-04-25', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
621 MELROSE AVENUE Bronx,40.8181061,-73.91727918,1,0.0,"[('2013-04-12', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
63-14 ROOSEVELT AVENUE Queens,40.74569585,-73.90044776,1,1.0,"[('2017-04-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
630 MIDLAND AVENUE Staten Island,40.57086487,-74.09136972,2,1.0,"[('2012-08-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-08-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
6323 AMBOY ROAD Staten Island,40.52324459,-74.21642125,2,0.5,"[('2015-09-11', 'PLEASE SEE COMPLAINT NUMBER'), ('2015-08-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
635 BAY STREET Staten Island,40.62652161,-74.07531438,1,1.0,"[('2016-02-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
64 EAST 1 STREET Manhattan,40.72379123,-73.98895819,1,0.0,"[('2013-05-23', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
64 EAST 183 STREET Bronx,40.8580601,-73.90226451,3,1.0,"[('2016-01-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-09-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-07-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
64 FROST STREET Brooklyn,40.71747363,-73.94927692,1,0.0,"[('2012-08-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
640 PROSPECT AVENUE Bronx,40.81544811,-73.90301276,1,1.0,"[('2012-09-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
642 10 AVENUE Manhattan,40.76169966,-73.99360695,1,1.0,"[('2014-11-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
643 BAY STREET Staten Island,40.62634804,-74.07515731,5,0.4,"[('2013-10-25', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2014-10-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-10-25', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2014-01-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-06-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
65 SHERMAN AVENUE Manhattan,40.86305632,-73.92658961,1,0.0,"[('2015-07-18', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
65-12 ROOSEVELT AVENUE Queens,40.74585868,-73.89849655,1,1.0,"[('2012-06-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
657 LENOX AVENUE Manhattan,40.81918307,-73.93763456,1,1.0,"[('2012-07-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
658 DAWSON STREET Bronx,40.8162186,-73.90271143,3,1.0,"[('2013-10-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-06-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
659 GRAND STREET Brooklyn,40.71168693,-73.94605558,1,1.0,"[('2014-03-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
66 RIVINGTON STREET Manhattan,40.72073612,-73.98994226,1,1.0,"[('2012-08-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
666 SENECA AVENUE Queens,40.70318414,-73.9087702,1,1.0,"[('2015-04-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
671 8 AVENUE Manhattan,40.75787034,-73.98978727,1,1.0,"[('2016-01-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
671 PROSPECT AVENUE Brooklyn,40.66877528,-73.95206687,1,0.0,"[('2014-07-25', 'ADMINISTRATIVE CLOSURE NN')]"
671 PROSPECT AVENUE Bronx,40.81567261,-73.90359681,3,0.6666666666666666,"[('2015-01-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-07-25', 'ADMINISTRATIVE CLOSURE NN'), ('2013-04-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
673 FLATBUSH AVENUE Brooklyn,40.65682956,-73.95983776,2,1.0,"[('2013-01-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-05-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
673 HUNT POINT AVENUE Bronx,40.81345821,-73.88505843,1,0.0,"[('2014-01-24', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
673 HUNTS POINT AVENUE Bronx,40.81345821,-73.88505843,3,0.3333333333333333,"[('2013-10-12', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2012-09-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-10-12', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
675 HUDSON STREET Manhattan,40.74037428,-74.00547918,1,1.0,"[('2016-12-10', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
675 SENECA AVENUE Queens,40.70334529,-73.90814412,2,0.5,"[('2014-04-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-10-16', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
676 FRANKLIN AVENUE Brooklyn,40.67540938,-73.95653099,1,1.0,"[('2015-06-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
678 WOODWARD AVENUE Queens,40.70501332,-73.90632181,1,1.0,"[('2015-10-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
679 ALLERTON AVENUE Bronx,40.86568093,-73.86807134,2,1.0,"[('2014-08-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-08-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
68 CANAL STREET Staten Island,40.62647666,-74.0758293,3,0.3333333333333333,"[('2014-06-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2014-10-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-05-31', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
681 SENECA AVENUE Queens,40.703237,-73.90796237,2,0.5,"[('2014-04-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-04-26', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
682 5 AVENUE Brooklyn,40.66180539,-73.99335243,1,1.0,"[('2013-03-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
683 GRAND STREET Brooklyn,40.71176509,-73.94521303,2,0.0,"[('2013-09-14', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2013-02-24', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
69-38 GRAND AVENUE Queens,40.72641825,-73.89405799,2,1.0,"[('2013-09-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-09-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
69-56 GRAND AVENUE Queens,40.72670434,-73.89352652,1,1.0,"[('2014-09-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
691 ALLERTON AVENUE Bronx,40.86568812,-73.86770551,2,1.0,"[('2016-08-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-01-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
691 BAY STREET Staten Island,40.62515345,-74.07451833,1,0.0,"[('2014-06-14', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
70-04 ROOSEVELT AVENUE Queens,40.74623742,-73.89518092,1,1.0,"[('2014-07-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
701 9 AVENUE Manhattan,40.76246514,-73.99009525,1,1.0,"[('2012-10-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
703 FAILE STREET Bronx,40.81472151,-73.88683515,1,1.0,"[('2015-11-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
